q.shape:torch.Size([2, 32, 43, 128]), k.shape:torch.Size([2, 32, 43, 128]), v.shape:torch.Size([2, 32, 43, 128])
q.shape:torch.Size([2, 32, 1, 128]), k.shape:torch.Size([2, 32, 44, 128]), v.shape:torch.Size([2, 32, 44, 128])
q.shape:torch.Size([2, 32, 6, 128]), k.shape:torch.Size([2, 32, 49, 128]), v.shape:torch.Size([2, 32, 49, 128])
q.shape:torch.Size([2, 32, 8, 128]), k.shape:torch.Size([2, 32, 51, 128]), v.shape:torch.Size([2, 32, 51, 128])
q.shape:torch.Size([2, 32, 15, 128]), k.shape:torch.Size([2, 32, 58, 128]), v.shape:torch.Size([2, 32, 58, 128])
q.shape:torch.Size([2, 32, 28, 128]), k.shape:torch.Size([2, 32, 71, 128]), v.shape:torch.Size([2, 32, 71, 128])
q.shape:torch.Size([2, 32, 32, 128]), k.shape:torch.Size([2, 32, 75, 128]), v.shape:torch.Size([2, 32, 75, 128])
q.shape:torch.Size([2, 32, 45, 128]), k.shape:torch.Size([2, 32, 88, 128]), v.shape:torch.Size([2, 32, 88, 128])
q.shape:torch.Size([2, 32, 66, 128]), k.shape:torch.Size([2, 32, 109, 128]), v.shape:torch.Size([2, 32, 109, 128])
q.shape:torch.Size([2, 32, 104, 128]), k.shape:torch.Size([2, 32, 147, 128]), v.shape:torch.Size([2, 32, 147, 128])
q.shape:torch.Size([2, 32, 144, 128]), k.shape:torch.Size([2, 32, 187, 128]), v.shape:torch.Size([2, 32, 187, 128])
q.shape:torch.Size([2, 32, 252, 128]), k.shape:torch.Size([2, 32, 295, 128]), v.shape:torch.Size([2, 32, 295, 128])
q.shape:torch.Size([2, 32, 576, 128]), k.shape:torch.Size([2, 32, 619, 128]), v.shape:torch.Size([2, 32, 619, 128])
q.shape:torch.Size([2, 32, 1032, 128]), k.shape:torch.Size([2, 32, 1075, 128]), v.shape:torch.Size([2, 32, 1075, 128])
q.shape:torch.Size([2, 32, 1590, 128]), k.shape:torch.Size([2, 32, 1633, 128]), v.shape:torch.Size([2, 32, 1633, 128])
q.shape:torch.Size([2, 32, 20, 128]), k.shape:torch.Size([2, 32, 1653, 128]), v.shape:torch.Size([2, 32, 1653, 128])
q.shape:torch.Size([2, 32, 120, 128]), k.shape:torch.Size([2, 32, 1753, 128]), v.shape:torch.Size([2, 32, 1753, 128])
q.shape:torch.Size([2, 32, 160, 128]), k.shape:torch.Size([2, 32, 1793, 128]), v.shape:torch.Size([2, 32, 1793, 128])
q.shape:torch.Size([2, 32, 300, 128]), k.shape:torch.Size([2, 32, 1933, 128]), v.shape:torch.Size([2, 32, 1933, 128])
q.shape:torch.Size([2, 32, 560, 128]), k.shape:torch.Size([2, 32, 2193, 128]), v.shape:torch.Size([2, 32, 2193, 128])
q.shape:torch.Size([2, 32, 640, 128]), k.shape:torch.Size([2, 32, 2273, 128]), v.shape:torch.Size([2, 32, 2273, 128])
q.shape:torch.Size([2, 32, 900, 128]), k.shape:torch.Size([2, 32, 2533, 128]), v.shape:torch.Size([2, 32, 2533, 128])
q.shape:torch.Size([2, 32, 1320, 128]), k.shape:torch.Size([2, 32, 2953, 128]), v.shape:torch.Size([2, 32, 2953, 128])
q.shape:torch.Size([2, 32, 2080, 128]), k.shape:torch.Size([2, 32, 3713, 128]), v.shape:torch.Size([2, 32, 3713, 128])
q.shape:torch.Size([2, 32, 2880, 128]), k.shape:torch.Size([2, 32, 4513, 128]), v.shape:torch.Size([2, 32, 4513, 128])
q.shape:torch.Size([2, 32, 5040, 128]), k.shape:torch.Size([2, 32, 6673, 128]), v.shape:torch.Size([2, 32, 6673, 128])
q.shape:torch.Size([2, 32, 11520, 128]), k.shape:torch.Size([2, 32, 13153, 128]), v.shape:torch.Size([2, 32, 13153, 128])
q.shape:torch.Size([2, 32, 20640, 128]), k.shape:torch.Size([2, 32, 22273, 128]), v.shape:torch.Size([2, 32, 22273, 128])
q.shape:torch.Size([2, 32, 31800, 128]), k.shape:torch.Size([2, 32, 33433, 128]), v.shape:torch.Size([2, 32, 33433, 128])
q.shape:torch.Size([2, 32, 20, 128]), k.shape:torch.Size([2, 32, 31863, 128]), v.shape:torch.Size([2, 32, 31863, 128])
q.shape:torch.Size([2, 32, 120, 128]), k.shape:torch.Size([2, 32, 31963, 128]), v.shape:torch.Size([2, 32, 31963, 128])
q.shape:torch.Size([2, 32, 160, 128]), k.shape:torch.Size([2, 32, 32003, 128]), v.shape:torch.Size([2, 32, 32003, 128])
