
q.shape:torch.Size([2, 32, 86, 128]), k.shape:torch.Size([2, 32, 86, 128]), v.shape:torch.Size([2, 32, 86, 128])
q.shape:torch.Size([2, 32, 1, 128]), k.shape:torch.Size([2, 32, 87, 128]), v.shape:torch.Size([2, 32, 87, 128])
q.shape:torch.Size([2, 32, 6, 128]), k.shape:torch.Size([2, 32, 92, 128]), v.shape:torch.Size([2, 32, 92, 128])
q.shape:torch.Size([2, 32, 8, 128]), k.shape:torch.Size([2, 32, 94, 128]), v.shape:torch.Size([2, 32, 94, 128])
q.shape:torch.Size([2, 32, 15, 128]), k.shape:torch.Size([2, 32, 101, 128]), v.shape:torch.Size([2, 32, 101, 128])
q.shape:torch.Size([2, 32, 28, 128]), k.shape:torch.Size([2, 32, 114, 128]), v.shape:torch.Size([2, 32, 114, 128])
q.shape:torch.Size([2, 32, 32, 128]), k.shape:torch.Size([2, 32, 118, 128]), v.shape:torch.Size([2, 32, 118, 128])
q.shape:torch.Size([2, 32, 45, 128]), k.shape:torch.Size([2, 32, 131, 128]), v.shape:torch.Size([2, 32, 131, 128])
q.shape:torch.Size([2, 32, 66, 128]), k.shape:torch.Size([2, 32, 152, 128]), v.shape:torch.Size([2, 32, 152, 128])
q.shape:torch.Size([2, 32, 104, 128]), k.shape:torch.Size([2, 32, 190, 128]), v.shape:torch.Size([2, 32, 190, 128])
q.shape:torch.Size([2, 32, 144, 128]), k.shape:torch.Size([2, 32, 230, 128]), v.shape:torch.Size([2, 32, 230, 128])
q.shape:torch.Size([2, 32, 252, 128]), k.shape:torch.Size([2, 32, 338, 128]), v.shape:torch.Size([2, 32, 338, 128])
q.shape:torch.Size([2, 32, 576, 128]), k.shape:torch.Size([2, 32, 662, 128]), v.shape:torch.Size([2, 32, 662, 128])
q.shape:torch.Size([2, 32, 1032, 128]), k.shape:torch.Size([2, 32, 1118, 128]), v.shape:torch.Size([2, 32, 1118, 128])
q.shape:torch.Size([2, 32, 1590, 128]), k.shape:torch.Size([2, 32, 1676, 128]), v.shape:torch.Size([2, 32, 1676, 128])
q.shape:torch.Size([2, 32, 3600, 128]), k.shape:torch.Size([2, 32, 3686, 128]), v.shape:torch.Size([2, 32, 3686, 128])
q.shape:torch.Size([2, 32, 20, 128]), k.shape:torch.Size([2, 32, 3706, 128]), v.shape:torch.Size([2, 32, 3706, 128])
q.shape:torch.Size([2, 32, 120, 128]), k.shape:torch.Size([2, 32, 3806, 128]), v.shape:torch.Size([2, 32, 3806, 128])
q.shape:torch.Size([2, 32, 160, 128]), k.shape:torch.Size([2, 32, 3846, 128]), v.shape:torch.Size([2, 32, 3846, 128])
q.shape:torch.Size([2, 32, 300, 128]), k.shape:torch.Size([2, 32, 3986, 128]), v.shape:torch.Size([2, 32, 3986, 128])
q.shape:torch.Size([2, 32, 560, 128]), k.shape:torch.Size([2, 32, 4246, 128]), v.shape:torch.Size([2, 32, 4246, 128])
q.shape:torch.Size([2, 32, 640, 128]), k.shape:torch.Size([2, 32, 4326, 128]), v.shape:torch.Size([2, 32, 4326, 128])
q.shape:torch.Size([2, 32, 900, 128]), k.shape:torch.Size([2, 32, 4586, 128]), v.shape:torch.Size([2, 32, 4586, 128])
q.shape:torch.Size([2, 32, 1320, 128]), k.shape:torch.Size([2, 32, 5006, 128]), v.shape:torch.Size([2, 32, 5006, 128])
q.shape:torch.Size([2, 32, 2080, 128]), k.shape:torch.Size([2, 32, 5766, 128]), v.shape:torch.Size([2, 32, 5766, 128])
q.shape:torch.Size([2, 32, 2880, 128]), k.shape:torch.Size([2, 32, 6566, 128]), v.shape:torch.Size([2, 32, 6566, 128])
q.shape:torch.Size([2, 32, 5040, 128]), k.shape:torch.Size([2, 32, 8726, 128]), v.shape:torch.Size([2, 32, 8726, 128])
q.shape:torch.Size([2, 32, 11520, 128]), k.shape:torch.Size([2, 32, 15206, 128]), v.shape:torch.Size([2, 32, 15206, 128])
q.shape:torch.Size([2, 32, 20640, 128]), k.shape:torch.Size([2, 32, 24326, 128]), v.shape:torch.Size([2, 32, 24326, 128])
q.shape:torch.Size([2, 32, 31800, 128]), k.shape:torch.Size([2, 32, 35486, 128]), v.shape:torch.Size([2, 32, 35486, 128])
q.shape:torch.Size([2, 32, 72000, 128]), k.shape:torch.Size([2, 32, 75686, 128]), v.shape:torch.Size([2, 32, 75686, 128])
